date,team,opp,wl
Monday Mar 31,PHI,TEX,W
Tuesday Apr 1,PHI,TEX,L
Wednesday Apr 2,PHI,TEX,L
Friday Apr 4,PHI,CHC,W
Saturday Apr 5,PHI,CHC,W
Sunday Apr 6,PHI,CHC,L
Tuesday Apr 8,PHI,MIL,L
Wednesday Apr 9,PHI,MIL,L
Thursday Apr 10,PHI,MIL,L
Friday Apr 11,PHI,MIA,W
Saturday Apr 12,PHI,MIA,W
Sunday Apr 13,PHI,MIA,W
Monday Apr 14,PHI,ATL,L
Wednesday Apr 16,PHI,ATL,L
Thursday Apr 17,PHI,ATL,W
Friday Apr 18,PHI,COL,L
Saturday Apr 19,PHI,COL,L
Sunday Apr 20,PHI,COL,W
Monday Apr 21,PHI,LAD,W
Tuesday Apr 22,PHI,LAD,W
Wednesday Apr 23,PHI,LAD,L
Thursday Apr 24,PHI,LAD,W
Friday Apr 25,PHI,ARI,L
Saturday Apr 26,PHI,ARI,W
Sunday Apr 27,PHI,ARI,W
Tuesday Apr 29,PHI,NYM,L
Friday May 2,PHI,WSN,L
Saturday May 3,PHI,WSN,W
Sunday May 4,PHI,WSN,W
Monday May 5,PHI,TOR,L
Tuesday May 6,PHI,TOR,L
Wednesday May 7,PHI,TOR,L
Thursday May 8,PHI,TOR,L
Friday May 9,PHI,NYM,W
Saturday May 10,PHI,NYM,W
Sunday May 11,PHI,NYM,L
Tuesday May 13,PHI,LAA,L
Wednesday May 14,PHI,LAA,L
Friday May 16,PHI,CIN,L
Saturday May 17,PHI,CIN,W
Sunday May 18,PHI,CIN,W
Tuesday May 20,PHI,MIA,W
Wednesday May 21,PHI,MIA,L
Thursday May 22,PHI,MIA,L
Friday May 23,PHI,LAD,L
Saturday May 24,PHI,LAD,W
Sunday May 25,PHI,LAD,L
Monday May 26,PHI,COL,W
Tuesday May 27,PHI,COL,L
Wednesday May 28,PHI,COL,W
Thursday May 29,PHI,NYM,L
Friday May 30,PHI,NYM,W
Saturday May 31,PHI,NYM,L
Sunday Jun 1,PHI,NYM,L
Monday Jun 2,PHI,NYM,L
