date,team,opp,wl
Monday Apr 6,MIA,ATL,L
Tuesday Apr 7,MIA,ATL,L
Wednesday Apr 8,MIA,ATL,L
Friday Apr 10,MIA,TBR,W
Saturday Apr 11,MIA,TBR,L
Sunday Apr 12,MIA,TBR,L
Monday Apr 13,MIA,ATL,L
Tuesday Apr 14,MIA,ATL,W
Wednesday Apr 15,MIA,ATL,W
Thursday Apr 16,MIA,NYM,L
Friday Apr 17,MIA,NYM,L
Saturday Apr 18,MIA,NYM,L
Sunday Apr 19,MIA,NYM,L
Tuesday Apr 21,MIA,PHI,L
Wednesday Apr 22,MIA,PHI,W
Thursday Apr 23,MIA,PHI,W
Friday Apr 24,MIA,WSN,W
Saturday Apr 25,MIA,WSN,W
Sunday Apr 26,MIA,WSN,W
Monday Apr 27,MIA,NYM,L
Tuesday Apr 28,MIA,NYM,W
Wednesday Apr 29,MIA,NYM,W
Friday May 1,MIA,PHI,W
Saturday May 2,MIA,PHI,W
Sunday May 3,MIA,PHI,L
Monday May 4,MIA,WSN,L
Tuesday May 5,MIA,WSN,W
Wednesday May 6,MIA,WSN,L
Thursday May 7,MIA,SFG,W
Friday May 8,MIA,SFG,L
Saturday May 9,MIA,SFG,W
Sunday May 10,MIA,SFG,L
Monday May 11,MIA,LAD,L
Tuesday May 12,MIA,LAD,L
Wednesday May 13,MIA,LAD,W
Friday May 15,MIA,ATL,L
Saturday May 16,MIA,ATL,L
Sunday May 17,MIA,ATL,L
Monday May 18,MIA,ARI,L
Tuesday May 19,MIA,ARI,L
Wednesday May 20,MIA,ARI,L
Thursday May 21,MIA,ARI,L
Friday May 22,MIA,BAL,L
Saturday May 23,MIA,BAL,W
Sunday May 24,MIA,BAL,W
Monday May 25,MIA,PIT,L
Tuesday May 26,MIA,PIT,L
Wednesday May 27,MIA,PIT,L
Friday May 29,MIA,NYM,W
Saturday May 30,MIA,NYM,W
Sunday May 31,MIA,NYM,L
Monday Jun 1,MIA,CHC,L
Tuesday Jun 2,MIA,CHC,W
Wednesday Jun 3,MIA,CHC,W
Friday Jun 5,MIA,COL,W
Saturday Jun 6,MIA,COL,L
Sunday Jun 7,MIA,COL,W
Monday Jun 8,MIA,TOR,L
Tuesday Jun 9,MIA,TOR,L
Wednesday Jun 10,MIA,TOR,L
Thursday Jun 11,MIA,COL,W
Friday Jun 12,MIA,COL,W
Saturday Jun 13,MIA,COL,W
Sunday Jun 14,MIA,COL,L
Monday Jun 15,MIA,NYY,W
Tuesday Jun 16,MIA,NYY,W
Wednesday Jun 17,MIA,NYY,L
Thursday Jun 18,MIA,NYY,L
Friday Jun 19,MIA,CIN,L
Saturday Jun 20,MIA,CIN,W
Sunday Jun 21,MIA,CIN,L
Tuesday Jun 23,MIA,STL,L
Wednesday Jun 24,MIA,STL,L
Thursday Jun 25,MIA,STL,L
Friday Jun 26,MIA,LAD,L
Saturday Jun 27,MIA,LAD,W
Sunday Jun 28,MIA,LAD,L
Tuesday Jun 30,MIA,SFG,W
Wednesday Jul 1,MIA,SFG,W
Thursday Jul 2,MIA,SFG,W
Friday Jul 3,MIA,CHC,W
Saturday Jul 4,MIA,CHC,L
