date,team,opp,wl
Monday Apr 4,PHI,CIN,L
Wednesday Apr 6,PHI,CIN,L
Thursday Apr 7,PHI,CIN,L
Friday Apr 8,PHI,NYM,L
Saturday Apr 9,PHI,NYM,W
Sunday Apr 10,PHI,NYM,W
Monday Apr 11,PHI,SDP,L
Tuesday Apr 12,PHI,SDP,W
Wednesday Apr 13,PHI,SDP,W
Thursday Apr 14,PHI,SDP,W
Friday Apr 15,PHI,WSN,L
Saturday Apr 16,PHI,WSN,L
Sunday Apr 17,PHI,WSN,W
Monday Apr 18,PHI,NYM,L
Tuesday Apr 19,PHI,NYM,L
Wednesday Apr 20,PHI,NYM,W
Friday Apr 22,PHI,MIL,W
Saturday Apr 23,PHI,MIL,W
Sunday Apr 24,PHI,MIL,L
Tuesday Apr 26,PHI,WSN,W
Wednesday Apr 27,PHI,WSN,W
Thursday Apr 28,PHI,WSN,W
Friday Apr 29,PHI,CLE,W
Saturday Apr 30,PHI,CLE,W
Sunday May 1,PHI,CLE,W
Monday May 2,PHI,STL,L
Tuesday May 3,PHI,STL,W
Wednesday May 4,PHI,STL,L
Thursday May 5,PHI,STL,L
Friday May 6,PHI,MIA,L
Saturday May 7,PHI,MIA,W
Sunday May 8,PHI,MIA,W
Tuesday May 10,PHI,ATL,W
Wednesday May 11,PHI,ATL,L
Thursday May 12,PHI,ATL,W
Friday May 13,PHI,CIN,W
Saturday May 14,PHI,CIN,W
Sunday May 15,PHI,CIN,L
Monday May 16,PHI,MIA,L
Tuesday May 17,PHI,MIA,W
Wednesday May 18,PHI,MIA,W
Friday May 20,PHI,ATL,L
Saturday May 21,PHI,ATL,L
Sunday May 22,PHI,ATL,W
Monday May 23,PHI,DET,L
Tuesday May 24,PHI,DET,L
Wednesday May 25,PHI,DET,W
Friday May 27,PHI,CHC,L
Saturday May 28,PHI,CHC,L
Sunday May 29,PHI,CHC,L
Monday May 30,PHI,WSN,L
Tuesday May 31,PHI,WSN,L
Wednesday Jun 1,PHI,WSN,L
Thursday Jun 2,PHI,MIL,L
Friday Jun 3,PHI,MIL,W
Saturday Jun 4,PHI,MIL,L
Sunday Jun 5,PHI,MIL,W
Monday Jun 6,PHI,CHC,L
Tuesday Jun 7,PHI,CHC,W
Wednesday Jun 8,PHI,CHC,L
Friday Jun 10,PHI,WSN,L
Saturday Jun 11,PHI,WSN,L
Sunday Jun 12,PHI,WSN,L
Monday Jun 13,PHI,TOR,W
Tuesday Jun 14,PHI,TOR,L
Wednesday Jun 15,PHI,TOR,L
Thursday Jun 16,PHI,TOR,L
Friday Jun 17,PHI,ARI,L
Saturday Jun 18,PHI,ARI,L
Sunday Jun 19,PHI,ARI,L
Monday Jun 20,PHI,ARI,L
Tuesday Jun 21,PHI,MIN,L
Wednesday Jun 22,PHI,MIN,L
Thursday Jun 23,PHI,MIN,W
Friday Jun 24,PHI,SFG,L
Saturday Jun 25,PHI,SFG,W
Sunday Jun 26,PHI,SFG,L
Monday Jun 27,PHI,ARI,W
Tuesday Jun 28,PHI,ARI,W
Wednesday Jun 29,PHI,ARI,W
Friday Jul 1,PHI,KCR,W
Saturday Jul 2,PHI,KCR,L
Sunday Jul 3,PHI,KCR,W
Monday Jul 4,PHI,ATL,W
Tuesday Jul 5,PHI,ATL,W
Wednesday Jul 6,PHI,ATL,W
Thursday Jul 7,PHI,COL,L
Friday Jul 8,PHI,COL,W
Saturday Jul 9,PHI,COL,L
Sunday Jul 10,PHI,COL,W
Friday Jul 15,PHI,NYM,L
Saturday Jul 16,PHI,NYM,W
Sunday Jul 17,PHI,NYM,L
Monday Jul 18,PHI,MIA,L
Tuesday Jul 19,PHI,MIA,L
Wednesday Jul 20,PHI,MIA,W
Thursday Jul 21,PHI,MIA,L
Friday Jul 22,PHI,PIT,W
Saturday Jul 23,PHI,PIT,L
Sunday Jul 24,PHI,PIT,L
Monday Jul 25,PHI,MIA,W
Tuesday Jul 26,PHI,MIA,L
Wednesday Jul 27,PHI,MIA,L
Thursday Jul 28,PHI,ATL,W
Friday Jul 29,PHI,ATL,L
Saturday Jul 30,PHI,ATL,W
Sunday Jul 31,PHI,ATL,L
Tuesday Aug 2,PHI,SFG,W
Wednesday Aug 3,PHI,SFG,W
Thursday Aug 4,PHI,SFG,L
Friday Aug 5,PHI,SDP,W
Saturday Aug 6,PHI,SDP,L
Sunday Aug 7,PHI,SDP,W
Monday Aug 8,PHI,LAD,L
Tuesday Aug 9,PHI,LAD,L
Wednesday Aug 10,PHI,LAD,W
